,Ticker,Datetime,Dividends,Close
4,RZAK11,2021-04,1.0,97.8
5,RZAK11,2021-05,0.9,98.5
6,RZAK11,2021-06,1.04,96.65
7,RZAK11,2021-07,0.8,99.8
8,RZAK11,2021-08,0.6,92.22
9,RZAK11,2021-09,0.75,85.55
10,RZAK11,2021-10,1.0,86.21
11,RZAK11,2021-11,1.1,83.39
12,RZAK11,2021-12,1.32,94.37
13,RZAK11,2022-01,1.3,93.5
14,RZAK11,2022-02,1.3,90.1
15,RZAK11,2022-03,1.2,95.27
16,RZAK11,2022-04,1.8,95.86
17,RZAK11,2022-05,1.8,98.14
18,RZAK11,2022-06,1.65,96.61
19,RZAK11,2022-07,1.5,98.52
20,RZAK11,2022-08,1.66,99.32
21,RZAK11,2022-09,1.45,101.75
22,RZAK11,2022-10,1.4,101.14
23,RZAK11,2022-11,1.5,97.71
24,RZAK11,2022-12,1.4,96.76
0,RZTR11,2020-10,0.0,98.97
1,RZTR11,2020-11,0.65,100.0
2,RZTR11,2020-12,0.91,105.16
3,RZTR11,2021-01,0.8,107.98
4,RZTR11,2021-02,0.85,103.47
5,RZTR11,2021-03,0.8,102.48
6,RZTR11,2021-04,0.7,107.1
7,RZTR11,2021-05,0.5,101.79
8,RZTR11,2021-06,0.77,97.5
9,RZTR11,2021-07,0.9,96.5
10,RZTR11,2021-08,0.9,97.41
11,RZTR11,2021-09,0.95,99.99
12,RZTR11,2021-10,0.95,96.9
13,RZTR11,2021-11,1.25,96.5
14,RZTR11,2021-12,1.25,101.77
15,RZTR11,2022-01,1.25,103.9
16,RZTR11,2022-02,1.25,101.49
17,RZTR11,2022-03,1.25,102.72
18,RZTR11,2022-03,1.25,102.72
19,RZTR11,2022-04,1.25,104.28
20,RZTR11,2022-05,1.25,103.55
21,RZTR11,2022-06,1.25,101.2
22,RZTR11,2022-07,1.25,101.85
23,RZTR11,2022-07,1.25,101.85
24,RZTR11,2022-08,1.25,104.39
25,RZTR11,2022-09,1.25,105.3
26,RZTR11,2022-09,1.25,105.3
27,RZTR11,2022-10,1.25,103.78
28,RZTR11,2022-11,1.25,101.86
29,RZTR11,2022-12,0.86,100.0
0,SADI11,2020-02,0.29,93.48
1,SADI11,2020-03,0.35,73.0
2,SADI11,2020-04,0.27,80.35
3,SADI11,2020-05,0.24,73.5
4,SADI11,2020-06,0.24,74.95
5,SADI11,2020-07,0.24,73.21
6,SADI11,2020-08,0.21,82.5
7,SADI11,2020-09,0.17,83.5
8,SADI11,2020-10,0.15,84.6
9,SADI11,2020-11,0.15,81.32
10,SADI11,2020-12,0.21,81.74
11,SADI11,2021-01,0.2,77.0
12,SADI11,2021-02,0.19,77.68
13,SADI11,2021-03,0.19,81.69
14,SADI11,2021-04,0.2,87.0
15,SADI11,2021-05,0.28,84.1
16,SADI11,2021-06,0.32,85.0
17,SADI11,2021-07,0.41,84.85
18,SADI11,2021-08,0.43,82.69
19,SADI11,2021-09,0.46,82.02
20,SADI11,2021-10,0.51,82.92
21,SADI11,2021-11,0.59,83.44
22,SADI11,2021-12,0.77,92.74
23,SADI11,2022-01,0.8,89.83
24,SADI11,2022-02,0.85,89.2
25,SADI11,2022-03,0.93,90.2
26,SADI11,2022-04,0.9,91.43
27,SADI11,2022-05,1.06,92.0
28,SADI11,2022-06,1.06,91.27
29,SADI11,2022-07,1.04,91.61
30,SADI11,2022-08,1.08,91.16
31,SADI11,2022-09,1.05,90.9
32,SADI11,2022-09,1.05,90.9
33,SADI11,2022-10,1.05,91.0
34,SADI11,2022-11,1.05,91.23
35,SADI11,2022-12,1.05,92.0
0,SARE11,2020-02,0.22,100.98
1,SARE11,2020-03,0.27,84.0
2,SARE11,2020-04,0.28,92.9
3,SARE11,2020-05,0.26,85.49
4,SARE11,2020-06,0.27,89.69
5,SARE11,2020-07,0.27,97.0
6,SARE11,2020-08,0.25,101.3
7,SARE11,2020-09,0.19,101.25
8,SARE11,2020-10,0.22,94.5
9,SARE11,2020-11,0.2,93.5
10,SARE11,2020-12,0.25,96.85
11,SARE11,2021-01,0.55,95.5
12,SARE11,2021-02,0.64,99.68
13,SARE11,2021-03,0.65,97.4
